Units used: mm,,,,,
,,,,,
Designator,Center-X(mm),Center-Y(mm),Rotation,Footprint,Layer
R59_LO2,66.475,56.6,360,0603_R,Top
R59_LO1,38.125,31.8481,360,0603_R,Top
R58_LO2,66.475,58.325,360,0603_R,Top
R58_LO1,38.125,33.5096,360,0603_R,Top
R47_LO2,66.475,49.7,360,0603_R,Top
R47_LO1,38.125,25.2019,360,0603_R,Top
R22_LO2,66.475,51.425,360,0603_R,Top
R22_LO1,38.125,26.8635,360,0603_R,Top
U24,33.0256,80.156,270,MC7905,Top
MP1,39.9069,38.5588,0,WURTH_36103605S,Top
U22,52.8204,123.9458,0,SOIC_8,Top
U31_LO2_INA2,23.6739,59.4298,360,SOIC_8,Top
U31_LO2_INA1,35.1039,59.3028,360,SOIC_8,Top
U31_LO1_INA2,23.6739,53.7148,360,SOIC_8,Top
U31_LO1_INA1,35.1039,53.5878,360,SOIC_8,Top
U30_dcshift2,52.9539,148.2998,360,SOIC_8,Top
U30_dcshift1,52.8904,111.4998,360,SOIC_8,Top
U28,11.1709,80.2588,270,TO254P1515X470-3N,Top
U25,25.4965,3.753,270,FP-DD-8-05-08-1698-MFG,Top
U23,53.1444,160.6338,0,SOIC_8,Top
U10_LO2,57.5894,57.4058,0,ADI-CP-56-1_M,Top
U10_LO1,29.2684,32.6408,0,ADI-CP-56-1_M,Top
U1,54.7114,29.1668,90,FP-LQFP144-1A-MFG,Top
R67_dcshift2,46.4769,148.5538,90,0603_R,Top
R67_dcshift1,46.4134,111.7538,90,0603_R,Top
R66_dcshift2,57.9069,146.7608,90,0603_R,Top
R66_dcshift1,57.8434,109.9608,90,0603_R,Top
R61_Large Relay 1,41.6509,164.4588,270,0603_R,Top
R61_Large Relay 3,41.6509,142.7418,270,0603_R,Top
R61_Large Relay 2,41.6509,120.5168,270,0603_R,Top
R60,28.7985,3.6342,90,STD_0805_R,Top
R53,47.4294,163.6818,360,0603_R,Top
R52,47.4294,160.3798,180,0603_R,Top
R51,47.5714,126.8668,360,0603_R,Top
R50,47.5714,123.5648,180,0603_R,Top
R45,24.0741,6.5724,180,0603_R,Top
R41_OPA5482,33.3324,161.4258,90,0603_R,Top
R41_OPA5481,33.5864,116.3408,90,0603_R,Top
R37_LO2,49.5884,63.3668,360,0603_R,Top
R37_LO1,21.2674,38.6018,360,0603_R,Top
R36_LO2,60.3834,51.0478,90,0603_R,Top
R36_LO1,32.0624,26.2828,90,0603_R,Top
R35_LO2,63.6219,51.0478,270,0603_R,Top
R35_LO1,35.3009,26.2828,270,0603_R,Top
R34_LO2,58.7324,51.0478,90,0603_R,Top
R34_LO1,30.4114,26.2828,90,0603_R,Top
R33,23.6677,1.0098,180,0603_R,Top
R32,26.3197,1.0098,360,0603_R,Top
R31_LO2,54.2874,51.0478,270,0603_R,Top
R31_LO1,25.9664,26.2828,270,0603_R,Top
R30_LO2,49.5884,61.7158,360,0603_R,Top
R30_LO1,21.2674,36.9508,360,0603_R,Top
R29_LO2,49.5734,51.8098,180,0603_R,Top
R29_LO1,21.2524,27.0448,180,0603_R,Top
R28_LO2,49.5884,53.4608,180,0603_R,Top
R28_LO1,21.2674,28.6958,180,0603_R,Top
R27_LO2,49.6034,56.7628,180,0603_R,Top
R27_LO1,21.2824,31.9978,180,0603_R,Top
R26_OPA5482,30.0304,161.4108,90,0603_R,Top
R26_OPA5481,30.2844,116.3258,90,0603_R,Top
R25_OPA5482,31.6814,161.3958,270,0603_R,Top
R25_OPA5481,31.9354,116.3108,270,0603_R,Top
R24_OPA5482,30.1574,168.9188,90,0603_R,Top
R24_OPA5481,30.6019,123.8338,90,0603_R,Top
R23_OPA5482,37.5234,155.8228,90,0603_R,Top
R23_OPA5481,37.7774,110.7378,90,0603_R,Top
R19_LO2,49.5884,58.4138,180,0603_R,Top
R19_LO1,21.2674,33.6488,180,0603_R,Top
R18,48.1914,148.5538,270,0603_R,Top
R17,48.1279,111.7688,270,0603_R,Top
R6,41.4604,23.4888,360,0603_R,Top
R5,64.6379,6.0958,270,0603_R,Top
J5,65.8057,99.2462,270,SAMTEC_ZF5S-10-01-T-WT,Top
D2,64.6379,2.2118,270,0805_LED,Top
C159,24.7599,82.0358,90,Tantalum_2917,Top
C158_LO2_INA2,30.1509,59.4298,270,0402_Cap,Top
C158_LO2_INA1,41.5809,59.3028,270,0402_Cap,Top
C158_LO1_INA2,30.1509,53.7148,270,0402_Cap,Top
C158_LO1_INA1,41.5809,53.5878,270,0402_Cap,Top
C157_LO2_INA2,28.4999,59.4298,270,0402_Cap,Top
C157_LO2_INA1,39.9299,59.3028,270,0402_Cap,Top
C157_LO1_INA2,28.4999,53.7148,270,0402_Cap,Top
C157_LO1_INA1,39.9299,53.5878,270,0402_Cap,Top
C156_LO2_INA2,18.7209,56.7628,270,0402_Cap,Top
C156_LO2_INA1,30.1509,56.6358,270,0402_Cap,Top
C156_LO1_INA2,18.7209,51.0478,270,0402_Cap,Top
C156_LO1_INA1,30.1509,50.9208,270,0402_Cap,Top
C155_LO2_INA2,17.0699,56.7778,270,0402_Cap,Top
C155_LO2_INA1,28.4999,56.6508,270,0402_Cap,Top
C155_LO1_INA2,17.0699,51.0628,270,0402_Cap,Top
C155_LO1_INA1,28.4999,50.9358,270,0402_Cap,Top
C154_dcshift2,57.9069,149.5698,90,0402_Cap,Top
C154_dcshift1,57.8434,112.7698,90,0402_Cap,Top
C153_dcshift2,59.6849,149.5698,90,0402_Cap,Top
C153_dcshift1,59.6214,112.7698,90,0402_Cap,Top
C152_dcshift2,48.1279,145.7748,270,0402_Cap,Top
C152_dcshift1,48.1279,108.9448,270,0402_Cap,Top
C151_dcshift2,46.4769,145.7598,270,0402_Cap,Top
C151_dcshift1,46.4769,108.9598,270,0402_Cap,Top
C150,41.3969,82.2898,270,Tantalum_2917,Top
C148,19.4259,82.0358,270,Tantalum_2917,Top
C147,2.9159,82.3938,270,Tantalum_2917,Top
C116,58.2244,163.3008,90,0402_Cap,Top
C115,59.8604,163.3008,90,0402_Cap,Top
C114,48.0644,158.0938,270,0402_Cap,Top
C113,46.4284,158.0938,270,0402_Cap,Top
C112,47.4294,165.3328,360,0402_Cap,Top
C111,47.4294,162.0308,360,0402_Cap,Top
C110,57.4624,126.5008,90,0402_Cap,Top
C109,59.1134,126.4858,90,0402_Cap,Top
C108,48.1914,121.4058,270,0402_Cap,Top
C107,46.5404,121.3908,270,0402_Cap,Top
C106,47.5714,128.5178,360,0402_Cap,Top
C105,47.5714,125.2158,360,0402_Cap,Top
C92,16.5049,11.9953,90,0402_Cap,Top
C91,18.6639,11.9953,90,0402_Cap,Top
C87,49.475,89.275,90,STD_0805_C,Top
C86,59.175,89.25,90,STD_0805_C,Top
C83_LO2,61.9709,51.0478,90,0402_Cap,Top
C83_LO1,33.6499,26.2828,90,0402_Cap,Top
C82_LO2,55.1764,42.7928,270,0402_Cap,Top
C82_LO1,26.8554,18.0278,270,0402_Cap,Top
C81_LO2,60.1294,42.8008,270,0402_Cap,Top
C81_LO1,31.8084,18.0358,270,0402_Cap,Top
C80_LO2,66.475,54.875,180,0402_Cap,Top
C80_LO1,38.125,30.1865,180,0402_Cap,Top
C79_LO2,66.475,60.05,180,0402_Cap,Top
C79_LO1,38.125,35.1712,180,0402_Cap,Top
C78_LO2,49.5884,55.1118,360,0402_Cap,Top
C78_LO1,21.2674,30.3468,360,0402_Cap,Top
C77_LO2,59.7484,64.0018,270,0402_Cap,Top
C77_LO1,31.4274,39.2368,270,0402_Cap,Top
C76_OPA5482,33.4594,168.8888,90,0402_Cap,Top
C76_OPA5481,33.9039,123.8038,90,0402_Cap,Top
C75_OPA5482,31.8084,168.9038,90,0402_Cap,Top
C75_OPA5481,32.2529,123.8188,90,0402_Cap,Top
C74_OPA5482,28.8874,154.9338,90,0402_Cap,Top
C74_OPA5481,29.1414,109.8488,90,0402_Cap,Top
C73_OPA5482,28.5064,168.9188,90,0402_Cap,Top
C73_OPA5481,28.9509,123.8338,90,0402_Cap,Top
C72_OPA5482,30.5384,154.9338,90,0402_Cap,Top
C72_OPA5481,30.7924,109.8488,90,0402_Cap,Top
C61_LO2,49.5884,60.0648,360,0402_Cap,Top
C61_LO1,21.2674,35.2998,360,0402_Cap,Top
C60_LO2,66.475,61.775,180,0402_Cap,Top
C60_LO1,38.125,36.8327,180,0402_Cap,Top
C59_LO2,66.475,53.15,180,0402_Cap,Top
C59_LO1,38.125,28.525,180,0402_Cap,Top
C58_LO2,55.9384,51.0478,90,0402_Cap,Top
C58_LO1,27.6174,26.2828,90,0402_Cap,Top
C57_LO2,61.4423,64.0018,270,0402_Cap,Top
C57_LO1,24.7492,39.2334,270,0402_Cap,Top
C56_LO2,52.6364,51.0478,90,0402_Cap,Top
C56_LO1,24.3154,26.2828,90,0402_Cap,Top
C55_LO2,54.7954,64.0018,270,0402_Cap,Top
C55_LO1,26.4744,39.2368,270,0402_Cap,Top
C54_LO2,53.1043,64.0003,270,0402_Cap,Top
C54_LO1,33.1249,39.2351,270,0402_Cap,Top
C53,59.6214,10.3928,270,0402_Cap,Top
C52,54.6684,10.3928,270,0402_Cap,Top
C15,62.7329,4.8198,90,0402_Cap,Top
C14,47.1754,42.6958,270,0402_Cap,Top
C13,67.8129,37.4588,180,0402_Cap,Top
C12,48.4454,15.8838,90,0402_Cap,Top
C11,67.8129,21.4568,180,0402_Cap,Top
C10,67.8129,27.9338,180,0402_Cap,Top
C9,67.8129,32.8868,180,0402_Cap,Top
C8,41.4454,26.9178,360,0402_Cap,Top
C7,41.4604,20.9488,360,0402_Cap,Top
C6,64.1553,14.0654,90,0402_Cap,Top
C5,50.1599,15.8688,90,0402_Cap,Top
C4,57.9069,42.7778,270,0402_Cap,Top
C3,52.4459,42.7928,270,0402_Cap,Top
C2,45.3974,42.7108,270,0402_Cap,Top
C1,41.4454,31.8708,360,0402_Cap,Top
